iter	Passed	Remaining
445	786	976
446	787	974
447	789	972
448	790	970
449	791	967
450	793	966
451	795	964
452	796	961
453	799	961
454	800	959
455	802	957
456	803	954
457	804	952
458	806	949
459	807	947
460	808	945
461	809	942
462	810	939
463	811	937
464	814	937
465	816	935
466	817	932
467	818	930
468	819	927
469	820	925
470	821	922
471	823	921
472	824	918
473	826	916
474	827	914
475	835	920
476	838	919
477	840	918
478	842	915
479	844	915
480	846	913
481	848	911
482	849	909
483	850	907
484	852	904
485	853	902
486	854	900
487	855	897
488	857	895
489	859	894
490	861	892
491	862	890
492	864	888
493	865	886
494	867	884
495	868	882
496	869	879
497	870	877
498	871	875
499	873	873
500	875	872
501	876	869
502	878	867
503	879	865
504	880	862
505	881	860
506	882	858
507	883	855
508	884	853
509	885	850
510	886	848
511	887	846
512	889	844
513	890	841
514	891	839
515	892	837
516	894	835
517	895	833
518	896	830
519	897	828
520	898	826
521	899	823
522	900	821
523	901	819
524	904	818
525	906	816
526	907	814
527	909	812
528	910	810
529	911	808
530	912	805
531	913	803
532	914	801
533	915	799
534	917	797
535	919	795
536	920	793
537	921	791
538	922	789
539	923	787
540	925	784
541	926	782
542	927	780
543	929	778
544	930	776
545	931	774
546	934	773
547	936	772
548	937	770
549	938	768
550	940	766
551	941	764
552	942	761
553	943	759
554	944	757
555	945	755
556	947	753
557	949	751
558	950	749
559	951	747
560	952	745
561	953	743
562	954	741
563	955	739
564	957	736
565	958	734
566	959	732
567	960	730
568	961	728
569	963	726
570	964	724
571	965	722
572	966	720
573	968	718
574	969	716
575	970	714
576	971	712
577	973	710
578	974	708
579	975	706
580	976	704
581	978	702
582	980	701
583	981	699
584	983	697
585	984	695
586	985	693
587	986	691
588	987	689
589	988	686
590	989	684
591	990	682
592	992	681
593	994	679
594	995	677
595	996	675
596	998	673
597	999	671
598	1001	670
599	1002	668
600	1003	666
601	1004	664
602	1006	662
603	1008	660
604	1009	659
605	1010	657
606	1012	655
607	1013	653
608	1014	651
609	1015	649
610	1016	647
611	1017	645
612	1018	643
613	1019	641
614	1021	639
615	1023	638
616	1024	636
617	1026	634
618	1027	632
619	1028	630
620	1029	628
621	1030	626
622	1032	624
623	1033	622
624	1034	620
625	1036	619
626	1038	617
627	1039	615
628	1041	614
629	1042	612
630	1043	610
631	1045	608
632	1046	606
633	1047	604
634	1048	602
635	1049	600
636	1052	599
637	1054	598
638	1055	596
639	1056	594
640	1057	592
641	1059	590
642	1060	588
643	1061	586
644	1062	584
645	1063	582
646	1064	580
647	1066	579
648	1067	577
649	1069	575
650	1070	573
651	1071	571
652	1072	569
653	1073	568
654	1074	566
655	1076	564
656	1077	562
657	1078	560
658	1080	558
659	1081	557
660	1083	555
661	1084	553
662	1086	552
663	1087	550
664	1088	548
665	1089	546
666	1090	544
667	1092	542
668	1093	540
669	1094	539
670	1096	537
671	1098	536
672	1099	534
673	1101	532
674	1102	530
675	1103	529
676	1104	527
677	1106	525
678	1107	523
679	1108	521
680	1111	520
681	1112	518
682	1113	517
683	1115	515
684	1116	513
685	1117	511
686	1119	510
687	1120	508
688	1122	506
689	1124	505
690	1125	503
691	1127	501
692	1128	500
693	1129	498
694	1131	496
695	1132	494
696	1133	492
697	1134	490
698	1135	488
699	1136	487
700	1137	485
701	1138	483
702	1140	481
703	1141	480
704	1143	478
705	1144	476
706	1145	474
707	1146	473
708	1148	471
709	1149	469
710	1150	467
711	1152	466
712	1153	464
713	1154	462
714	1156	461
715	1158	459
716	1159	457
717	1161	456
718	1162	454
719	1163	452
720	1164	450
721	1165	448
722	1166	446
723	1167	445
724	1168	443
725	1169	441
726	1171	439
727	1172	438
728	1173	436
729	1174	434
730	1175	432
731	1176	430
732	1177	429
733	1178	427
734	1180	425
735	1182	424
736	1183	422
737	1184	420
738	1186	418
739	1187	417
740	1188	415
741	1189	413
742	1191	412
743	1192	410
744	1193	408
745	1194	406
746	1195	404
747	1197	403
748	1198	401
749	1200	400
750	1201	398
751	1202	396
752	1204	394
753	1205	393
754	1206	391
755	1208	389
756	1209	388
757	1210	386
758	1212	384
759	1214	383
760	1215	381
761	1217	380
762	1219	378
763	1220	376
764	1221	375
765	1222	373
766	1223	371
767	1224	370
768	1226	368
769	1227	366
770	1229	365
771	1231	363
772	1233	362
773	1234	360
774	1235	358
775	1236	356
776	1237	355
777	1238	353
778	1239	351
779	1240	349
780	1241	348
781	1242	346
782	1244	344
783	1245	343
784	1247	341
785	1249	340
786	1250	338
787	1251	336
788	1252	334
789	1253	333
790	1254	331
791	1255	329
792	1258	328
793	1259	326
794	1261	325
795	1262	323
796	1264	321
797	1265	320
798	1266	318
799	1267	316
800	1268	315
801	1269	313
802	1270	311
803	1272	310
804	1273	308
805	1275	306
806	1276	305
807	1277	303
808	1279	302
809	1280	300
810	1281	298
811	1283	297
812	1284	295
813	1285	293
814	1286	292
815	1287	290
816	1289	288
817	1290	287
818	1291	285
819	1293	283
820	1294	282
821	1295	280
822	1296	278
823	1297	277
824	1298	275
825	1299	273
826	1301	272
827	1302	270
828	1304	269
829	1305	267
830	1306	265
831	1308	264
832	1309	262
833	1310	260
834	1311	259
835	1313	257
836	1314	255
837	1315	254
838	1316	252
839	1318	251
840	1319	249
841	1321	248
842	1323	246
843	1324	244
844	1325	243
845	1326	241
846	1327	239
847	1329	238
848	1330	236
849	1331	234
850	1332	233
851	1333	231
852	1335	230
853	1336	228
854	1337	226
855	1338	225
856	1339	223
857	1340	221
858	1341	220
859	1342	218
860	1343	216
861	1344	215
862	1345	213
863	1346	211
864	1347	210
865	1348	208
866	1349	207
867	1350	205
868	1351	203
869	1353	202
870	1354	200
871	1355	198
872	1356	197
873	1357	195
874	1358	194
875	1359	192
876	1361	190
877	1362	189
878	1363	187
879	1364	186
880	1365	184
881	1366	182
882	1368	181
883	1369	179
884	1370	178
885	1371	176
886	1372	174
887	1373	173
888	1374	171
889	1376	170
890	1377	168
891	1378	166
892	1379	165
893	1380	163
894	1381	162
895	1383	160
896	1384	158
897	1385	157
898	1386	155
899	1387	154
900	1389	152
901	1390	151
902	1391	149
903	1392	147
904	1393	146
905	1394	144
906	1395	143
907	1396	141
908	1397	139
909	1398	138
910	1399	136
911	1400	135
912	1401	133
913	1402	131
914	1403	130
915	1404	128
916	1405	127
917	1406	125
918	1407	124
919	1408	122
920	1409	120
921	1410	119
922	1411	117
923	1412	116
924	1413	114
925	1414	113
926	1415	111
927	1416	109
928	1417	108
929	1418	106
930	1420	105
931	1422	103
932	1423	102
933	1425	100
934	1426	99
935	1427	97
936	1428	96
937	1429	94
938	1430	92
939	1432	91
940	1433	89
941	1434	88
942	1435	86
943	1436	85
944	1438	83
945	1439	82
946	1441	80
947	1442	79
948	1443	77
949	1444	76
950	1445	74
951	1446	72
952	1447	71
953	1448	69
954	1450	68
955	1451	66
956	1453	65
957	1454	63
958	1455	62
959	1457	60
960	1458	59
961	1460	57
962	1461	56
963	1461	54
964	1462	53
965	1464	51
966	1465	50
967	1466	48
968	1467	46
969	1468	45
970	1470	43
971	1471	42
972	1472	40
973	1473	39
974	1475	37
975	1476	36
976	1477	34
977	1480	33
978	1481	31
979	1483	30
980	1484	28
981	1486	27
982	1487	25
983	1488	24
984	1489	22
985	1490	21
986	1491	19
987	1492	18
988	1494	16
989	1495	15
990	1497	13
991	1498	12
992	1499	10
993	1500	9
994	1501	7
995	1502	6
996	1503	4
997	1504	3
998	1505	1
999	1506	0
